Episodes = 1251,alpha=1e-05,gamma=0.99,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-120.7342652010568,-193.60442205118042,123
-19.354048732965538,-187.61537478242076,117
-385.52717085143621,-164.72714178399573,91
-980.54623677544726,-158.71730113384749,239
-599.66865378908824,-151.90547348908237,102
-893.10295288371628,-153.69177105286732,87
-376.53800537598664,-139.74898688968821,68
-247.23631391557183,-129.55573474052807,71
-283.62395697921636,-114.99323112086587,59
-186.37433528520552,-84.043088900125852,64
-327.94106692395678,-70.864843883156126,91
-349.78740448543897,-64.988387031165558,85
-359.12016599319577,-66.774480913550292,88
-251.2328349060987,-68.641376821124126,83
-93.67933488587343,-69.721976962608494,100
-76.080097045374458,-74.862243931000009,96
-187.7842031845887,-78.184204895791268,68
-134.12103040643251,-86.162090496164765,71
-21.983307416550502,-91.963831675832893,116
-238.23224467074533,-93.698569444819228,103
-202.89172847283612,-93.789523770202905,88
-371.15310235435584,-99.885269308178067,117
-390.2196756089063,-105.59610475579099,106
-407.97651265875908,-112.98459190183458,59
-196.34692780990173,-115.42925924749765,117
-250.4021835854542,-114.02931847083305,80
-113.05806569866076,-110.3101118855844,92
-221.77546256644308,-104.14422168465093,85
-112.79082445251791,-96.643283621823954,114
-170.80892529267703,-94.35418893202332,129
-57.798665254419397,-92.214608990711255,148
-109.70277152705941,-87.598056009480459,166
172.6324777335802,-80.715942947895385,428
55.970479095655179,-76.745810549477085,306
-199.74234010838967,-68.224882157428098,269
-58.257652346946486,-64.53977341587651,462
-272.92211014594585,-62.434099607769141,240
-234.74371581259257,-60.135928991945768,288
-183.51380201927032,-57.545048842085336,281
-82.191467208056665,-54.77823379671031,389
-382.3853984644,-53.062281780389021,256
-147.96818898812941,-47.377924157393466,337
-164.969880340315,-45.166302945305404,390
-299.22547549484511,-38.697178959991518,314
-104.14768855064706,-38.823758995811488,329
-53.422434426106342,-35.531102009585091,265
-94.646130860357516,-33.026418564251323,328
-66.493281883609654,-30.63605358913825,278
-78.068873029121391,-26.755305460081466,468
-74.900058152407709,-23.767706691653995,170
-49.584795841732891,-20.981246598425479,180
-43.905907318911282,-19.622111709821535,288
-76.128615023534849,-16.763942588803911,248
-67.298037327966796,-15.488784983549037,176
-16.838620306183692,-10.079059766376055,167
-25.931945175265557,-5.5435951611530205,164
-53.429671353319335,-0.40696845064984316,211
-59.133521863590957,2.0312507623629443,211
-18.224340317711366,5.7796435155784245,143
-32.450863214444063,8.9958226924958868,220
-82.221346311596193,7.6849162594203024,168
-94.515082114342476,10.869075896180002,174
-142.93064861295704,13.26085740208881,219
-81.027886204392885,13.227900366167319,273
-109.55896675344644,16.033848587561405,285
-161.0290627727218,17.906249686544207,103
-365.98581531157959,16.610118248032567,216
-308.7913170204173,19.074831521697142,179
-374.19554734525212,20.404512615647832,178
-299.13891560478964,20.613004131329504,227
-179.62485996105653,24.781231360724565,140
17.329881036461742,27.743787360700711,193
-128.18000223954891,30.26902969605333,195
-40.194611484072105,32.322533016400151,100
162.28984166089458,30.497643999327021,180
-518.10382946866412,30.614321842932096,174
-438.87657798458309,31.333266251601216,235
-141.189209719308,30.196198812974465,176
-161.38383390113114,28.024823104427821,209
-216.1202832238495,24.042448177408083,268
-192.20675490514043,17.898669347618704,120
-376.53850981708149,14.533474926090072,190
-224.81055594804025,15.38867157338513,203
-182.52418123680164,16.348611789559008,177
-142.37121614255091,20.287275577000845,475
-41.47117298369399,18.527287356787987,308
-241.75434981308408,21.26226071370785,367
-327.49016020476319,24.641361941424702,239
-250.70172577580271,25.146557979214741,146
-278.97839526554333,30.304426815483012,239
-276.93690014252604,36.179449289453352,444
-469.47699241247381,38.514738570787976,278
-711.18385606532524,38.194080827218947,457
-423.22640987417685,39.553674389657225,424
-325.02076323582077,36.995655826345299,456
-251.9792762545253,32.844909925795591,470
-243.19769793611201,26.429838298855021,238
-286.99464709904305,24.17696886837383,208
-399.89525691068252,21.031604859910036,330
-304.37422333143456,20.006122353554503,376
-256.64580456834631,20.043022557850307,398
-337.64016425211162,20.036303805499983,425
-272.9494350100282,23.842304948489364,424
-232.304332541581,30.200138776214938,369
-44.652506093015461,35.171088903126645,456
-311.41653168348654,40.012746638280767,398
-150.83670718602883,43.816343456342771,196
-301.82462584511813,45.598691815315149,499
-157.94893506910427,52.613081311047587,390
-224.17973847049859,54.37213446623948,427
-98.653911762930235,55.952170082183876,338
-296.73199385125599,54.926044715002924,289
-135.69908611587402,47.762492540671722,102
-225.51132124068039,34.162996332468893,346
94.391688946785962,30.178276277541023,161
-82.875003232074349,444
80.745696660179192,411
-69.742845911288086,376
-224.00959258502701,253
-249.83182431968152,483
-331.7926813933758,310
-55.251081268675385,426
-20.444255674073549,183
-48.546092650290547,287
-20.474780982494398,117
10.887833940232328,273
-13.873131168630552,163
-9.5180654979134953,131
66.545266746859866,264
14.260615446088249,184
-72.186417549113514,184
-19.905508745665756,414
-53.557147522621889,220
-66.475261092778297,390
16.930773789948489,269
-45.456941953858447,122
-31.997767142484292,300
-26.508487078618074,420
-44.396567546071665,251
-43.140480795193021,314
-54.778114491278998,154
-132.31294422047296,344
-121.27411963967614,165
-37.796549108586532,302
-139.64743427549851,213
-18.421324200827922,352
-41.401023079592107,243
-164.1455737873811,274
-1.3664374448056222,377
-82.697703246729702,383
-45.981536709853515,384
-26.823807455203386,148
-55.089604542920412,268
-30.615900156705933,139
-65.666808838677525,219
2.3106575509410652,396
-6.6142748919923271,152
-68.493919870026389,332
-121.2761835800398,158
-116.93587960059618,488
-132.35035273593749,148
-145.08612158887951,105
-64.633461301230795,428
-18.372481691168371,458
-137.07499739927863,253
-75.696452058015652,316
-60.060171781083532,300
-15.605693157971871,305
-89.846637109158934,145
-18.745095412487434,193
0.0049397656887093799,216
-127.77741074258114,397
-44.55289629159865,338
-74.656921508674131,433
-74.360180705448741,228
-19.615297205718669,169
-17.917113799807478,110
-6.6312966958333455,250
-127.44139218907269,238
-85.334523924599267,306
-46.441237305507826,491
-36.239372516629466,415
-174.70114535428928,269
2.8870118016938449,180
-131.73660791661581,146
-79.240884964208149,300
-122.0097475504099,332
-97.452199759088813,205
-20.073509030784294,373
-33.262216872044483,443
-110.76798796391304,225
-156.77090753917381,215
-56.591667406057333,226
-62.659747977789749,397
-55.936116192666731,224
-70.86025100449146,314
-26.302523214834036,309
-19.19312184440755,150
-105.85017270563247,497
-30.13523531640217,386
-12.972057986658468,477
-69.32570856158631,230
-25.254758591550729,497
-109.32263664422518,376
-139.40640367177048,226
-159.80143779935963,178
-118.55251288695038,319
-87.813012405958034,366
-189.05757027117755,482
-38.451518210413951,450
-35.588719979352639,486
-115.58207463548266,130
-15.435116221184717,443
-38.217663286062525,228
-29.923524363785223,456
-139.21982436335929,308
-60.592579869990622,328
-63.45603228023527,250
-27.867839403320779,381
-45.567443399952566,255
-84.410410389412434,283
-104.70308194252263,294
-25.20358006157976,253
-38.231807181595855,286
-32.688406045105197,319
-66.710923013483765,326
-138.11385859781802,129
-30.559884690170158,313
-45.43172523523954,374
-39.206151527303895,331
-65.966342445928063,409
-45.525550931902096,355
-9.9002655516640541,357
-52.149735875715841,228
-8.9674894091372739,417
-31.018510353028606,465
-49.187674442492529,359
-133.2525730757211,343
-58.872186709252247,266
-60.755969050679553,492
-123.7534409942476,488
-129.37373402666424,348
-62.459702560579174,413
-146.43959281713225,490
-66.138692486986486,401
-61.053513649627817,192
-60.452652081286367,186
-126.39543820380426,169
-151.6208689034238,486
-82.302504298661063,407
-15.664538615120433,167
-63.933622957724111,169
-142.9888285116777,490
-148.70637210138409,345
-119.47233454311623,371
-99.658398112937363,408
-147.19617836303183,381
-79.252967144273384,415
-99.747900971596977,398
-52.905255714589742,403
-95.352096513896171,491
-112.11319356198514,433
-65.838167258480837,406
-169.61986342731007,482
-56.466267289419143,455
-159.40838135244033,405
-124.61728206555409,436
-26.920731864031382,485
-154.36100859142118,340
-137.93289269387236,353
-82.389772609822003,459
-154.55492601296169,426
-46.570014897121077,232
-154.73325816556584,458
-169.21247595817462,163
-172.04851320500433,431
-122.34303126142477,368
-111.34816615235587,434
-135.95169133622602,461
-131.82904977839368,456
-177.47952656776999,476
-113.22385084358208,381
-131.27746108754152,363
-104.03252077449572,344
-191.09683601684088,460
-127.83708622271867,445
