Episodes = 3571,alpha=0.01,gamma=0.99,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-60.48432008662077,-208.22259570208206,67
-65.660651638397439,-205.54235673794517,108
-268.63167408781317,-204.65043067784819,102
-361.05826856493701,-197.10109366667501,132
-349.1711895876191,-201.54987947252869,83
-265.56685445286155,-202.1870795447478,154
-614.1225035690544,-206.02249663208747,156
-333.95225088378265,-185.99089446808924,79
-378.70211587445323,-184.34658064006533,76
-611.20741235150763,-171.000516687394,149
-307.82945040993138,-178.23235837045482,138
-268.65853467916929,-185.17513428344921,213
-203.657850790368,-182.81032395680805,116
-199.38505293205253,-185.70474603060185,123
-209.64859514221092,-192.08125351555117,140
-165.45634153963661,-194.74633216139358,168
-196.44446548594078,-202.02317386049199,121
-168.86522252477661,-202.1153115977896,92
-185.2396875541699,-199.43672722176311,113
-133.41885834407032,-193.52833225488135,126
-160.09626675825109,-190.94800691226607,121
-453.76531042335245,-188.53068984164136,68
-469.41417640073723,-197.22724570532009,86
-26.738966190328298,-200.07013377876291,152
-125.88701577762737,-237.55199626843032,101
-76.458833298935659,-252.71826738178919,114
-110.13650916800279,-255.39806301531848,116
-208.48473111502557,-279.81278095362325,111
-128.44073463093707,-302.01955842988798,151
-369.11692968226146,-307.77644995786454,181
-44.374536379321825,-314.57958062845103,177
-241.64490684483701,-311.75902972269171,97
-334.60944577664281,-303.28299029934641,107
-213.05465534102996,-321.00246775049692,146
-167.64748169620884,-289.96601903180488,108
-153.71400594179028,-271.83946723942717,163
-187.51004430814737,-265.73228874450325,99
-218.17064803100334,-246.08491657886151,62
-318.98227978030877,-222.72173796746188,70
-56.406452070571589,-209.82516872295491,78
-96.105979816230914,-190.0597132920737,151
-126.24877929181312,-201.47215382029367,388
-85.52188377714107,-217.6432512033667,94
-98.65001239144388,-208.8910626530207,123
-118.37711724825655,-204.82059363485118,174
-158.14482052210008,-211.26216222692099,134
-5.9611299756253402,-212.49611509391164,155
-168.91484339670527,-210.96101642502327,86
-100.72881375795868,-205.38023710979644,115
-123.97278228319885,-219.38209464596304,102
-82.005963648472672,-235.52127754776481,105
-82.136210688583105,-235.3149003943835,113
-108.01418260874374,-240.25423726259834,78
-121.28937595875395,-242.05685549900093,101
-107.98437417120545,-247.36044932107757,129
-277.4920068278999,-237.11352061608545,255
-9.198049664483591,-233.92663034330366,140
-268.76159353133124,-222.61375091437051,170
-118.89318153019488,-228.79232949491919,106
-115.51151687115197,-212.86673089904201,109
-150.06745061404595,-204.14376041739976,87
-66.215596577256406,-199.50096621999131,93
-102.43135443983854,-177.7837130545683,105
-88.754367185848679,-158.90679625381364,110
-274.33755582724916,-142.43892073939446,294
-130.26215194025866,-155.03843009405537,230
-107.18449951344624,-156.80346782544558,192
-125.81388938458193,-176.19883394944125,124
-88.040259920441983,-185.67057353358979,70
-114.14299946207983,-201.35593615721865,143
-156.93892520978747,-211.30794092889266,348
-138.92917971088821,-209.36200163377657,338
-84.46991046682075,-203.18502088438035,130
-95.253292293685803,-205.23465692559006,137
-51.416720196580783,-207.46373570763046,208
-252.60560600243628,-192.52841335354816,340
-371.8858051303327,-188.3746584404845,123
-2506.9189748374511,-178.34864533073997,102
-70.601433330488035,-160.99855404362296,94
-167.58459128067247,-138.00867640614274,63
-78.619897181267291,-129.49928020838013,79
-157.3297029760686,-124.05904906824293,144
-188.89542588032205,-118.24143868933776,192
-212.34812288814166,-126.00471745669874,89
-128.72570450583387,-124.36338119850093,89
-732.91154461675512,-125.95976635809242,79
-128.25222692138806,-126.27703724866518,59
-114.25579722421094,-130.10855704556755,149
-117.6069294143319,-143.15461824388217,70
-130.42849383272568,-159.75402137377057,58
-280.30263336772157,-163.81815100717463,145
-146.99380952794002,-156.35243568621706,84
-135.77673013319583,-153.35029078315071,55
-152.70090197554248,-145.38298475234475,64
-505.16864184698329,-152.15190784502954,72
-426.17396696481325,-154.53847574591629,70
-519.73184019694918,-143.54714743272757,53
-203.01667363218945,-156.55634702248324,82
-673.16914076056401,-152.09848364467524,73
-202.78212035458654,-155.4464335597705,79
-110.9579754072242,-154.87553197996201,138
-97.852013897934441,-174.41529563914878,93
-158.85082235315082,-176.80351191057639,115
-313.46816965703306,-196.18820371887122,92
-309.92426121704807,-210.68556595783636,110
-158.93941830600215,-202.50790668108166,71
-183.94374717146331,-222.32131210050167,92
-167.39011644185325,-229.14031782206109,84
-78.114484690310107,-225.8749522650578,75
-246.28644097466287,-208.04271174385977,59
-140.31664558685841,-194.18909302235244,89
-155.98212369093665,-181.24785426748426,109
-111.0146490116669,-204.51199101679941,133
-232.16446970523614,-203.79068802487072,104
-174.51778897119729,-195.15482744385554,80
-216.50771932840217,-206.95628551713418,89
-163.38432978092106,-184.94313877041589,90
-252.43030638621448,-156.80416090745902,70
-241.40508661893165,-142.27559708821408,121
-177.82268798991481,-145.70286880376818,103
-45.351001505219671,-152.86158728969468,81
-252.69669207252394,-152.38228249455744,75
-207.9905331439308,-129.23243531911973,104
-138.56366722542776,-120.1050128413907,88
-453.10614703628767,-118.47596456509511,60
-170.37171418433718,-118.12310974532751,146
-160.41981054576968,-128.98871925591823,137
-147.92385252455131,-145.20068655460014,102
-160.77124939221503,-155.16810069722843,95
-139.919614382303,-162.17248407155708,65
-207.58358692841173,-179.20423923842085,106
-84.404849403464368,-189.65627118715773,98
-114.07793199078985,-209.09053296307971,60
-90.068776968629464,-223.01664276371602,107
-109.71698743988746,-227.87849856763853,104
-129.75141932913743,-223.98705219870783,85
-16.728876111222746,-219.91688338161333,103
-126.85848700765823,-224.75525533047127,84
-167.2674012019643,-256.10700039396863,129
-175.08431554125571,-276.2090166374158,97
-167.22171005853204,-300.9436530708881,100
-133.70968539567528,-309.98607701804701,76
-128.05868814537644,-291.03568157998257,149
-196.93485118144605,-292.8669495115584,129
-153.62742286551321,-305.10704768659338,71
-12.476292714708691,-319.61057249503983,98
-201.64737486102717,-319.51502591863277,106
-137.14118678817354,-306.3502555870424,83
-216.44308193077677,-282.16237174482978,59
-203.25073886485939,-270.76726612032144,149
-144.21542029828407,-236.62507981497112,102
-119.59269959324806,-219.00562490238121,62
-225.87341710426466,-234.25993624266073,53
