Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
episode_rewards,hundred_ep_reward_avgs,episode_lengths,,,,,,,,,,,,,,,,,,,
-305.3194951,-120.62354,114,,,,,,,,,,,,,,,,,,,
-186.8154313,-113.9041096,93,,,,,,,,,,,,,,,,,,,
-482.1100419,-80.16561727,90,,,,,,,,,,,,,,,,,,,
-316.2543408,-78.84659193,80,,,,,,,,,,,,,,,,,,,
-209.0007919,-82.12336791,104,,,,,,,,,,,,,,,,,,,
-131.8466928,-90.50151257,121,,,,,,,,,,,,,,,,,,,
-228.9568239,-103.2086246,178,,,,,,,,,,,,,,,,,,,
-281.1644272,-103.4244656,274,,,,,,,,,,,,,,,,,,,
-222.3260237,-98.9794112,311,,,,,,,,,,,,,,,,,,,
23.4445839,-86.17445102,319,,,,,,,,,,,,,,,,,,,
-44.340604,-81.27465522,239,,,,,,,,,,,,,,,,,,,
-406.7008405,-65.84641344,334,,,,,,,,,,,,,,,,,,,
-252.4761449,-63.58646601,204,,,,,,,,,,,,,,,,,,,
-287.6085002,-52.62864033,271,,,,,,,,,,,,,,,,,,,
-285.2247895,-42.97234294,214,,,,,,,,,,,,,,,,,,,
-311.6363788,-31.29558449,188,,,,,,,,,,,,,,,,,,,
-225.0417543,-13.35697969,175,,,,,,,,,,,,,,,,,,,
-323.4854031,-6.440702006,139,,,,,,,,,,,,,,,,,,,
-234.2843656,-4.132768149,97,,,,,,,,,,,,,,,,,,,
-143.4303279,-4.959320238,96,,,,,,,,,,,,,,,,,,,
-155.9659184,-3.070106184,103,,,,,,,,,,,,,,,,,,,
-144.5697148,0.492243128,173,,,,,,,,,,,,,,,,,,,
-171.9321494,3.266021871,84,,,,,,,,,,,,,,,,,,,
-298.7171559,3.531041654,108,,,,,,,,,,,,,,,,,,,
-676.6707385,5.863988216,146,,,,,,,,,,,,,,,,,,,
-425.283211,11.49412159,108,,,,,,,,,,,,,,,,,,,
-469.2474741,16.1119553,99,,,,,,,,,,,,,,,,,,,
-551.767301,19.76939372,93,,,,,,,,,,,,,,,,,,,
-467.0376271,23.49673251,101,,,,,,,,,,,,,,,,,,,
-446.0214295,31.42347873,157,,,,,,,,,,,,,,,,,,,
-235.2260306,35.59533848,179,,,,,,,,,,,,,,,,,,,
-233.1277376,41.42929049,299,,,,,,,,,,,,,,,,,,,
-87.41154361,48.51600811,166,,,,,,,,,,,,,,,,,,,
-125.6868846,51.53124988,291,,,,,,,,,,,,,,,,,,,
-305.8756128,55.63920243,319,,,,,,,,,,,,,,,,,,,
13.96023524,53.59546572,342,,,,,,,,,,,,,,,,,,,
-253.5606994,50.88191966,319,,,,,,,,,,,,,,,,,,,
-61.95638692,48.02781292,336,,,,,,,,,,,,,,,,,,,
