Episodes = 1991,alpha=0.0001,gamma=0.99,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=3264relu/64relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-137.57570691394858,-120.14734583646394,64
-186.45943436114013,-102.65082477188686,102
-231.04626000734464,-51.41097517959873,92
-366.36090586414275,-31.81125884535529,70
47.966058067777226,-32.713294094295314,102
-131.57461373089518,-33.857792344894186,52
-126.34081427763236,-33.45177093687486,90
-236.5316133885707,-33.91149348539992,152
-348.7415178652627,-33.08921177574226,125
-284.54170932848876,-32.219523334122535,323
-327.5579661690689,-32.38734649223616,278
-55.32881388935,-32.77539794383749,176
-17.828471998683785,-35.641765175520916,175
-611.3184550699041,-37.49357359345627,162
-109.89238471572793,-34.842308367311276,151
-214.03540816545302,-31.724015076841784,154
-206.07778638419154,-29.547297995823037,136
-225.13610606472943,-29.632791298133654,133
-52.869863936350626,-32.3102796931594,175
-197.94098410832225,-35.881488551081475,107
-446.64943872239746,-39.33416648638517,98
-569.940291292354,-41.14500493318061,78
-465.7953457243412,-43.72041470172276,100
-600.2255941254647,-44.27527373507877,87
-582.024424841074,-46.90127032125516,84
-733.8813116276868,-54.44455179623996,114
-659.2247243927136,-58.50933337814891,89
-484.27081623147785,-60.72442559607325,167
-386.63049265985745,-65.75905110048113,130
-500.5741897070079,-64.1693939522867,200
-113.68114663118625,-62.16383021791012,240
-19.702056417635077,-61.18542540175452,242
-507.08258618661534,-60.34893143766462,298
-285.8630515422973,-62.76700658400967,424
-326.039701547172,-62.846932112653874,370
-237.29866095218128,-58.02185361608085,341
-259.42907888896764,-58.2010978165822,196
-170.06645615785203,-62.14701279711376,386
-144.66822611423305,-63.25681991221095,137
-145.41160248604015,-62.38094862319764,287
-70.67670053737062,-61.775292255125294,310
-71.95167749583602,-59.641184203623204,289
-46.529305750724184,-58.674928494351605,121
-36.21404699669561,-50.21661907624993,130
-24.539877990771807,-42.18893030305921,111
-28.187869308513733,-39.017081695553216,176
-57.499084198852756,-37.995691026257006,211
-43.94647907595227,-30.152454542148458,484
-46.14257989462664,-21.78981746872029,355
-10.040837053017226,-12.477172485792812,493
-48.778159310024634,-7.816234909841354,388
-66.6857702983958,-3.639680895400267,208
-51.302917700022796,4.310667238588278,345
-52.636931541850636,7.597968457599726,134
3.3985131964111197,12.498813964365969,279
-24.590946324636914,19.28750527116975,468
-26.946753356134064,31.379153337039057,488
-33.65359887947685,35.66466738804556,167
-49.33567014893803,44.561810189286234,170
-53.30327156630287,48.13440527285033,337
3.8150827967080425,53.63603776334473,316
-10.939776253853266,62.814159694905136,147
-35.51481245800898,69.49611641657711,402
-73.52841538917984,75.7779152266332,170
-53.71053698345998,78.06993388653784,429
-55.22001003230528,81.56063477685474,142
-57.273716825483525,80.51090613220815,311
-29.41679275565554,86.54770556825895,359
-19.6726831412487,87.90029169373688,309
-56.502896449379975,88.21954884193856,466
-22.049584490041617,90.05010842385802,340
-28.288824162230355,89.8840060406592,133
-28.8431683344539,93.20745554485865,231
-4.10024891802077,93.92968768655159,265
