Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=3264relu/64relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-107.15895951736913,-170.90681039214257,53
-250.4919004111912,-166.85609688662953,78
-79.7383577790235,-175.25249802870323,113
-155.54750240777383,-184.9067195222402,86
-98.40033234871854,-188.53038592571858,73
-194.3675627181849,-186.38387408013855,73
-83.91750995222137,-190.8577059188241,108
-337.2889121826646,-195.70256244270414,118
-313.9782554688036,-193.5514519482575,98
-90.85444159113369,-189.8143560398272,57
-160.56204509664627,-191.9647134395618,112
-349.5643231805202,-196.67724169679016,106
-162.08697530432084,-192.0927171912984,110
-381.4570266105473,-181.13390207609373,107
-156.34250544970803,-170.17889508816683,87
-306.32889362132266,-172.23922254349839,90
-81.22256550100495,-171.33487648749187,111
-97.66446931639166,-169.19063853446963,75
-130.8816029009605,-172.18812639851743,76
-123.05577115056246,-174.3788143209509,90
-65.18885258885496,-181.52705380719087,75
-157.5902202170356,-179.77631690800825,107
-360.9407175255994,-174.86783564296212,85
-45.1788878626336,-177.2927361949517,59
-137.64886824243644,-179.11318050639434,57
-43.118120899010265,-177.14141568959388,69
-116.23078036802498,-175.08646553584813,120
-113.49346579747083,-178.88256817962207,126
-136.0409505265065,-178.6285801209133,74
-277.03277543588104,-177.40231440982515,61
-117.79368582562715,-172.68990567190266,80
-72.83138159955068,-171.9298535097286,64
-86.35559307730881,-177.4326132632623,76
-217.90435308880757,-175.07080269042027,69
-242.64093828304647,-185.0344245295995,76
-95.00559358940717,-186.51456052384137,94
-140.2127671015308,-185.66149465658586,88
-116.62117347335084,-185.65429684797934,111
-175.65422096438823,-200.55046250292028,125
-89.97153299322912,-200.2381274178876,92
-148.27260409043114,-200.2064661799014,70
-220.8178944914599,-200.04034502672013,73
-134.88612967376164,-198.35884264330477,123
-373.24600173436085,-197.1252194716522,92
-226.51092422702314,-193.66945246328444,114
-116.55587267454865,-194.29313266481844,71
-312.8221708873824,-200.3397386824676,138
-87.72462779631462,-192.7387974455525,74
-137.34394762256602,-179.61706831205552,83
-115.90597260652646,-175.34847178992402,100
-184.21021103026055,-174.32012990594765,73
-110.78595317623447,-172.5910393041165,80
-130.43206079683284,-177.80579477974115,81
-114.88472931138895,-174.4818557903919,106
-229.64474594719212,-175.36173059211225,99
-280.69410076984184,-173.57231474445663,102
-291.27209629129766,-172.35154221460445,106
-114.13069232680908,-182.27896226858272,52
-315.84019445713,-191.48295005656644,103
-274.9383639625288,-193.3401716662306,112
-82.22467806697016,-189.17297575360928,97
-222.00711360011093,-193.37284139557804,91
-282.27020911180625,-188.12465330907386,97
-141.535837642187,-189.4914167019896,67
-140.8116766478218,-186.5956412819397,141
-103.0373024767687,-187.31670533056328,68
-101.12028186594902,-182.53085068256925,98
-206.10965221508212,-175.96083640229364,57
-308.43389744685044,-172.02874502549025,122
-186.49772650312792,-169.5582697861642,99
-217.34595658334666,-163.50444947163305,140
-75.6212969254826,-157.66007071446293,61
-135.82193023966315,-159.90223356435433,110
-72.97958930226666,-158.81761727751828,70
-237.43942007634251,-158.47139459191675,76
-105.48253216675192,-164.34211441251048,75
-14.156271347276416,-163.494817903655,110
-147.62061241404797,-160.60357490036512,84
-70.87809438429659,-156.7867121624081,65
-75.58122346835397,-157.73799023108126,66
-277.1900966102874,-162.4030247946849,123
-278.0772642150531,-169.423155734126,112
-39.62417110029401,-166.53277724697196,75
-87.15416221396637,-167.61052969231113,82
-122.1630756978285,-167.45671551628354,68
-11.290205564736766,-163.04213771641867,83
-493.6290655062549,-165.17187699702663,109
-244.53201369262354,-171.9115664090214,146
-393.97880786029384,-170.89978403330508,84
-145.59164261475786,-176.67759210083162,172
-459.2880517894154,-180.2647750988087,139
-211.73225292848318,-178.85122994785397,118
-94.85336621258523,-180.0217181191552,58
-227.41165131855846,-185.14824478871824,83
-82.9283134670952,-185.40291727520187,99
-101.76027814596458,-188.2097651967197,66
-155.61112272478613,-181.97233736488425,113
-262.7257892893588,-189.74773181497642,83
-14.408878779746274,-184.5286256898887,119
-174.04502668246784,-180.32636837529557,97
42.95189155905325,-177.56888877838173,79
-270.99868724453034,-176.19365572257774,125
-122.03087366110928,-180.41050199213507,85
-94.47529719006063,-181.10437341720584,85
-134.3328026047268,-174.9481479193394,86
-136.9114814398883,-173.7094507411191,116
-198.88101805387305,-173.73556851473694,78
-248.36552561985397,-168.05880936137132,135
-13.928260542025384,-172.72900153959642,64
-217.6518762019833,-184.3205085325272,85
-213.546217850619,-188.18296421031243,74
-122.8305844995038,-188.72703588511297,90
-124.93438354058617,-185.92937352237053,73
-108.60097400414114,-183.75880411215547,87
-152.97428966749018,-188.31112823723495,64
-215.54178868386592,-190.73608667820622,75
-100.42455200704143,-187.75022287797202,80
-267.03186160248526,-188.89773015595034,77
-95.61843584094218,-187.87906070973727,88
-234.4035970262854,-176.33227975477948,63
-121.73436070834367,-177.99566468368917,70
-363.8241299618324,-181.3236851931909,74
-106.58358717946965,-188.23743092627984,95
-164.2789059685626,-194.7146387809841,65
-420.890787649576,-190.00959881839478,96
-38.26276643274126,-191.27963898787894,115
-101.24326290824625,-187.43776268428155,92
-324.5303929627251,-190.53324767646131,136
-213.066836347418,-189.4125110026416,80
-306.12704086784373,-188.92020257998948,111
-253.29604339240433,-178.0778137964365,87
-356.7690249075458,-174.3700804368766,102
-60.37604540647806,-172.5664602497853,80
-163.77264592111834,-168.89416225789216,109
-137.5441929320612,-162.69412983934524,77
-487.4049866867317,-170.13589544262547,112
-190.9132504082334,-177.86591192607028,92
-135.36176066567694,-179.1556394426855,90
-172.33553868040795,-178.24341440539968,76
-349.14788888833004,-176.5759758156789,90
-266.7880548533656,-184.12218390066977,102
-470.4550052038513,-188.80395271061386,98
-155.77315805271496,-192.18909663198767,93
-229.68133719005408,-184.8205047624164,119
-388.8499743773141,-196.8371867887978,115
-97.1039068375338,-192.989688793735,121
-99.97493592789382,-191.66178591197314,79
-132.77296596411105,-197.7326960459733,86
-135.11819869997342,-197.14416921050872,110
-412.451037929348,-203.92222185082474,84
-114.2722659694171,-198.7044374015153,85
-251.2199557076573,-192.78508888839875,95
-395.6278149450969,-192.97418069120715,99
-126.55297621810969,-194.61437322398953,57
-208.42252178042054,-191.46572009107575,99
-172.83903117114485,-190.20965055675111,70
-118.1000707969287,-196.9932759202881,62
-94.8224598136085,-202.04712205840352,115
-42.34885891840146,-197.70463789034665,119
-332.05705252656924,-197.811457630439,129
-90.1912216335846,-206.40661491529812,86
-123.25094524608784,-209.18689650630273,106
-359.8693779135291,-203.6577175327107,88
-80.96710243915997,-214.30773731617953,61
-252.93267006919766,-210.86616046449123,109
-214.84354567039236,-206.93071701000753,78
-167.19396933635738,-193.47208312887935,101
-82.2342300279752,-179.58196082616138,68
-506.0385411335294,-178.0250804244598,94
-104.31432943492656,-180.09890853172124,78
-329.786848174073,-172.8199155107629,112
-79.22305481986737,-180.19712418716676,113
-232.56363673686582,-178.95399900096658,80
-352.41291576049383,90
-255.99191529867642,94
5.714107541981264,92
-89.09857063241041,61
-120.21424511658508,95
-165.90013520044144,101
-217.76108352472414,117
-129.96112974774968,73
-218.40579754745676,78
-187.70001698842,105
-99.72183205290129,70
-36.789278086775795,97
-130.37043450953374,108
-145.16997295677794,68
-115.9821135102896,83
-306.37907995681735,91
-202.4258672822657,71
-435.1750627401855,88
-259.29111585134876,97
-57.36774968426438,73
-273.9986474085443,74
-63.12309766107614,58
-110.06547871481486,66
-94.83980907767918,89
-89.15979864371435,66
-91.07702814449438,85
-276.31964347261214,119
-95.81277183688906,88
-109.78649497670192,70
-91.14668437111185,79
-91.57010382178422,79
-112.14823834472685,125
-103.32588478977543,71
-404.5638231587494,90
-225.89055815519305,87
-53.40154614334643,96
-280.86714754678087,79
-136.9591896642766,102
-114.19909257271404,94
-236.09739511500533,105
-227.39424172608653,79
-336.1374945940505,105
-320.1857282277351,124
-361.7416283694751,95
-96.00518456267137,61
-152.5839726077648,121
-117.85930380576255,79
-144.955468864531,70
-118.0631912603015,102
-152.13129417044385,61
-197.10186704251817,116
-116.52012905442945,77
-67.1760096768221,67
-224.21956147233666,115
-109.03178835271872,64
