Episodes = 2311,alpha=0.0001,gamma=0.99,epsilon=0.045599448334722736,epsilon_decay_rate=0.85,tau=0.125,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-315.6996996633551,-133.24832356434345,55
-588.4609383888233,-115.11881016139125,64
-35.75449397536447,-99.66762136444112,117
-79.5000031902134,-96.50093783890524,351
-258.5964606098623,-103.5796820950035,149
-208.62975883412847,-105.41990984741419,99
-316.219314072398,-94.85787104068945,54
-101.45314503004384,-87.66364246154639,181
-393.10362918704686,-79.85083763003368,130
-410.0204385602917,-68.72269222722728,155
-486.92848375576784,-59.068430318800836,142
-259.5853687669338,-57.20143290177552,103
-384.6963001351847,-51.2968203198579,199
-319.16529111961586,-42.89386809618866,149
-247.33970407650048,-23.425933830201284,184
-67.45953748113612,-11.390337477259719,211
15.308780975939314,-6.540362931091571,260
-302.15100168281003,-2.66958203871643,146
-211.7308090559879,3.2192727297729324,411
181.52255844166152,10.395099846582344,307
-241.9516498953662,13.882994891421042,242
-8.186279363728474,15.986984212089496,271
-184.63399035655084,20.570027525786877,200
-41.25114107136098,27.991929366695132,161
-512.456199286555,36.0322243114409,190
-426.032323302506,41.41537268533443,150
-130.16725847508738,44.95982445121939,281
-177.12484598517116,47.219463399444265,167
-77.19984838364893,50.11084014217762,159
-338.98965012602423,51.24916662376556,160
-162.64065255842632,54.349882207638494,124
-361.5370423710345,59.73697011485862,196
-119.03367385318752,60.386472425173096,144
-189.53044135517973,61.70024908573137,281
-134.01542457145487,62.96071233422913,229
137.3973221358102,63.792115450330755,236
-242.2322047432143,64.61260555170512,163
-293.2852245602545,67.48113840939097,141
-149.15016962280808,67.84881923822148,278
72.12227352408428,68.68845800029345,125
-207.37673450897813,70.47532834831499,151
-49.473335385107056,73.31625116261174,316
-73.81025207455723,75.64723855441251,201
-216.6141876058585,76.41635411809025,149
-212.9745857693369,77.07530676820575,210
-270.09481228807414,88.18191469634466,199
-227.19452820926097,100.03919152724096,298
-104.18077135301483,108.55523319770286,276
-87.91901507835445,118.41251122998185,466
-33.95647359160989,121.28226504066626,363
-1.3406151539547153,129.71859876502995,456
-2.6321615269820455,133.25802099807052,224
-73.57728229425945,141.38034376705968,495
-57.32138110092143,148.74656309984155,407
-32.796153693458436,156.53020166469557,440
-5.242389291233651,156.56427613140315,424
-162.89522952707895,155.13301175294765,329
-19.63824311395247,150.07761048885786,455
-97.2160971956121,158.97688553346055,460
-177.75165303712626,170.4238088752767,467
-79.23114776939616,172.90671663999504,357
-184.56471709804828,177.99999451602162,365
-153.34641616002222,183.36210951211393,217
-169.14243258743232,186.7711031790138,431
-42.26192840755272,192.7013373896671,420
-162.91491427973654,195.63189182733268,408
-116.68157045328206,198.0684875465991,394
-135.98155810896284,206.211994368086,458
-167.32988887779385,209.90205441279286,266
-20.183687976361014,208.851908339359,461
-154.43266215308816,209.21817525363747,379
-117.28044685854293,210.3111005109339,328
-116.91688564764955,209.76235060109633,325
-71.23618369826946,214.10521346187517,489
-21.080610110801416,215.07244529903008,274
-11.2855906994527,221.42364186547144,342
-133.65345062357963,226.21612107056296,353
-117.15048984000502,225.69100788180222,372
-66.95328396792472,225.57329658121142,410
-51.890333719789,226.40094856692772,359
-137.73217823019118,232.29661425144184,307
-48.688064562242594,235.68465532185903,357
-182.73575357763582,242.46670262858524,396
-79.57680949612062,240.79400367280107,475
-59.884417528373056,244.65212234416722,273
-161.48917016180474,246.79958719032575,457
-64.71950501013468,245.89049104017434,249
-16.652136790963535,247.11909440822603,291
-80.11459376325985,239.6284563841272,375
-125.47934448514101,243.1952140774086,360
-153.25063397092345,242.1212944407255,154
-165.40637228229969,243.61506389950782,210
-128.07392646610288,244.45693126191404,195
-110.3301053509559,248.01045807494864,217
-191.60639202747635,237.67123227233185,458
-112.46081432707352,228.35925323690142,251
