Episodes = 1091,alpha=0.0001,gamma=0.99,epsilon=0.04710128697246249,epsilon_decay_rate=0.9,tau=0.2,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-104.25087529156461,-770.1435296340195,65
-120.08233859268111,-805.2107085951253,52
-600.5759220952386,-781.957778711147,163
-455.9301458470972,-826.2783090684511,79
-470.44647980403295,-821.2541260119575,78
-717.2196032829798,-791.1942078377621,85
-492.32830724642395,-799.9846587083135,120
-591.2662057873142,-740.0597153056074,117
-567.8484309744813,-712.7464554154684,84
-489.5113520589893,-735.0500401977233,83
-715.0993418738618,-706.2126155597381,95
-686.5442311762595,-709.9456152592594,79
-468.19105019133383,-698.9874024771832,85
-714.033692231969,-651.8396692950247,85
-1189.7645744084853,-658.00464513104,169
-458.39044578625266,-667.7958190305737,82
-442.25400617807844,-645.0781888099402,84
-541.2502867575863,-631.011459627231,74
-631.2367422156352,-619.7666695571078,112
-331.9978379978887,-592.8334713086123,61
-570.7162936624811,-596.3538361243632,72
-1043.7568378827941,-559.5202609014423,122
-659.9740001544988,-553.7028942765053,117
-403.01537669171955,-557.5827901119432,49
-644.7919912676662,-554.1900590974878,105
-593.2434062708917,-554.5225549448547,96
-723.8169469001876,-575.2863429720892,125
-3222.4831667372823,-580.5859074652694,299
-349.09374103532843,-610.8873854519067,48
-380.5065226414823,-588.3531051549519,57
-598.5805249156879,-569.2733942636596,66
-367.3935699174236,-556.7054446501153,53
-544.7830213065611,-566.7213320467198,82
-440.4910958960107,-562.867933381586,55
-537.8192499619104,-554.0004063860107,67
-555.290042663644,-541.3198555859777,63
-727.823133514037,-527.1216025395138,73
-445.2633905978757,-522.7055161799268,77
-527.787297187282,-497.83059439730766,58
-706.1546731759327,-512.8533296576056,73
-492.4045026561919,-547.0899560410423,57
-563.0922578331498,-542.1507190591423,73
-387.7109323012708,-554.2901433475695,61
-484.3816547108579,-548.7464276384063,68
-764.8021566371918,-565.1529774520548,86
-322.893558343616,-550.9340031174659,87
-621.2117479667324,-535.3098215927627,95
-859.8089353795056,-552.5459764009853,112
-777.5553606094479,-600.6858141503034,123
-933.9660664792261,-582.0642012411067,112
-748.0770008241134,-561.7696062553333,105
-1127.3597337547237,-558.7453873817607,182
-806.2211867210676,-537.070120262992,150
-380.90642104371426,-572.503720238836,62
-580.6277893459484,-561.3996009523102,73
-785.327776742622,-589.9441726007193,140
-1079.881149620921,-643.4186521753245,127
-1087.8991344380333,-654.7674122633342,120
-465.5333226006644,-632.7473181045642,76
-1698.535374405468,-652.7893225827628,243
-314.1331262151934,-634.0653793554671,57
-563.4819248911563,-619.5959534198923,81
-1119.491930934802,-590.7098961548644,193
-1149.6263119768776,-540.5262090833064,204
-478.1530947157658,-533.1698144886088,54
-499.16412925632466,-504.15924637524915,96
-429.4880884001983,-472.6370741532852,82
-899.7444448502961,-421.93748079134616,120
-548.6144272065935,-405.5469286034471,74
-747.7990337725938,-382.2386469862175,107
-3628.4640581553294,-376.1527523345113,286
-530.261146669328,-364.6018103638955,57
-769.330323763365,-356.9197345576288,115
-605.2085936431506,-364.45090404360474,120
-1187.4692177298077,-355.9127118143265,148
