Episodes = 1091,alpha=0.0001,gamma=0.99,epsilon=0.04710128697246249,epsilon_decay_rate=0.9,tau=0.2,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-406.0022274885357,-121.73991905988389,56
-401.48444258234395,-112.53938841481907,58
-365.0679751135115,-112.95035300962567,84
-224.18236604024807,-104.16583613411592,59
-463.69567632157964,-93.09001236727536,74
-426.2067450054139,-83.62294104311626,74
-411.19536838605507,-93.97059598357244,51
-319.54429420177354,-84.82168367112492,91
-944.7810968842024,-80.1598828138873,151
-332.5669277999185,-76.60288835788216,153
-191.45540357278054,-80.29808107577492,73
-308.3918498466896,-81.26404866450294,74
-203.63860155400494,-78.44828355656189,65
-255.19769364387975,-72.34250572231156,80
-166.57631047315053,-74.09163606470814,74
11.201132835061031,-79.3096254175912,61
-141.32181202857325,-75.9796728840137,61
-126.31636997555889,-72.15364856573444,88
-59.20247008528605,-60.11887926466312,83
-156.34584470785174,-52.243660870196706,64
-145.83786732735842,-49.12250851640544,67
-117.19091908571238,-46.81368512754327,66
-80.70171471568813,-45.06714941347095,87
-106.79197861903376,-42.934766175931,85
-16.23855153379081,-38.86500571798746,127
16.533122061319702,-33.57768706627468,108
205.67849628879384,-29.060238245723895,301
-74.59893163310261,-24.225427986973354,128
-107.04974221785912,-19.777145449803506,197
-151.84100922027616,-20.245523393663426,254
-171.51721415369428,-15.490405540394512,254
-157.45442076958213,-11.136044085290433,375
-120.16005192659445,-3.991962183976133,152
-92.31634028321022,-2.2200322601820504,265
-134.13711254981123,-1.6985165660389452,453
-169.5277525267545,-1.1199761218647344,127
-188.37850894455994,3.016680700152813,87
-304.93785786602643,2.3907280715702837,177
-215.43921684207328,5.793532191818366,224
-292.99504744302044,9.794105950274378,187
-254.0807547926413,12.387868759229198,104
-155.2607176578046,9.513657108038101,348
-95.82268969011236,9.196355591684835,150
-135.13078930161637,10.535691040308693,106
-135.9855816564994,12.343397822173285,497
-29.455803134821565,15.735861494958865,219
-38.734654699465096,17.13923480296166,371
-248.02362561512228,21.460586169401687,305
-38.68479673347237,24.518383777510095,107
-144.89083664807436,26.312484217840446,76
-139.16350937163952,26.656778748270835,402
-62.639633347672586,28.16648046652858,293
-225.77528988462194,30.241849826348904,305
-170.9705533927198,32.368555464113044,484
-171.14665432735342,35.69763267556974,252
-133.8158530390285,38.697388735267644,259
-19.42757831441096,39.22311984446036,305
-77.61882056924145,43.693182333777074,124
-54.599147093141454,44.4716460068163,215
-108.84981323505043,45.258524952361434,209
-28.424921399797267,48.544629205238046,364
188.9053269309049,52.757380783458146,147
-86.81998006466215,52.9513091335477,259
-25.865890148985116,57.72875522346267,299
