Episodes = 1771,alpha=0.0001,gamma=0.99,epsilon=0.04710128697246249,epsilon_decay_rate=0.9,tau=0.2,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-675.9856663840774,-85.10621112724144,77
-545.8515575075264,-73.60654188948797,83
-438.18750930777156,-47.42896149282696,80
-122.50719207865426,-46.508483377877255,68
-569.788171836158,-48.36631282265404,198
-126.62329026671367,-48.6954361635493,350
-30.424346856610764,-44.96345033318506,128
-89.16203420097172,-40.71877771301332,118
-317.878614630366,-37.1144670236587,137
-84.19030666275064,-42.35962899666232,300
-418.93490163647675,-40.046209620459486,345
-298.351133736893,-35.844204074405845,335
-58.53363987314232,-28.441268595629584,326
-178.3092170671027,-23.391808961486888,480
-96.03878847750397,-15.384669052118364,165
-130.01898625608726,-10.880185113506771,226
-186.45551977037093,-4.430444265191806,192
-176.36470873110625,0.49881277457342876,95
-363.1224277493157,7.268345766266136,63
134.1687405060276,20.667132172386736,113
-325.8386160017606,28.178295769267677,176
-417.3812011674038,33.36081006286525,295
-646.1385515490812,38.052394055220695,409
-586.9734777210804,43.84012555218132,334
-422.28461361344677,49.45257775734012,129
-287.721155762254,50.4807823988087,171
-287.9087236286357,49.91568979479592,109
-103.5593113939259,52.96311966746949,149
-325.32084266341417,56.11960772395762,212
-9.583598634362792,57.97806933585879,123
-57.92402527936225,57.84886664900332,127
-70.41549144141122,58.96369975076911,351
-9.06766109398265,61.760353417124364,312
-81.28638538722262,64.8052519850919,117
-77.88573337984288,59.567277177818504,85
-21.98518117431729,55.92432297473386,135
-159.16918331405566,54.412009263875355,494
-55.87638350394392,51.95930726031936,60
-8.665951645641877,48.98397334714531,152
-54.56763593334009,46.169874563862216,150
-12.858994916685127,46.72619346212979,164
-25.736306175542047,47.5954622199633,370
-34.665202068767954,45.77079237030469,241
-37.84001369111493,46.74303786473582,312
-19.803020751967246,51.65191822150428,162
-52.806802438252596,59.753215683493565,172
-37.21848430298383,67.29352264676612,233
-38.82570618367416,74.7607179153079,149
-60.05215104545802,73.6168751564515,289
-70.49027059664152,77.58094412103083,256
14.609349771465777,77.98533036044921,143
-40.97482432161281,84.65099158245545,235
-40.79698148709999,93.13158152492554,273
-46.2274270492427,99.17105606272648,322
7.623266078650712,108.79624173367023,250
-25.249286885554213,114.51044535660274,370
-17.52075234519201,112.2648497980685,267
-64.29376432583253,96.69016543648209,136
-31.97013822917262,89.85808639599998,244
-17.033959541087174,84.96179389427127,447
-68.8551963244615,71.33920372666293,210
-59.314115207088456,48.66980400592148,202
-16.740857384580302,35.96567882440244,308
-31.4179329023857,24.85219295799235,343
-40.89537986238157,12.249264982494676,101
-17.34570599450769,-4.049633679125175,135
-56.065731658494784,-8.866423916785807,131
-23.524046637450045,-2.4158572929118147,406
-36.1962516640366,4.9514095469334265,221
-51.47576543691299,8.184230558575988,471
-69.37751699804011,22.695225608120154,497
-150.76326806662965,28.6037651739769,247
-17.966908505881545,32.68493601918732,318
-22.201670765537916,33.073178482988936,128
15.129890187084793,37.77298666925244,133
-156.5185121578557,48.02598730097198,434
-44.36057232913619,51.62306177998188,414
-16.61495445290894,55.67776327371821,490
-10.38282081285705,58.96076230666753,455
-64.67156476955391,65.72523002212277,464
-110.43245479756996,67.7111392424713,467
-61.040164985582365,78.45484311799518,408
-50.00695289475834,84.41161353738626,418
-109.32310341264042,99.9270320719531,373
-85.82466731708132,110.67314747626754,470
-85.36614931437546,125.56995061332894,313
