Episodes = 1201,alpha=5e-05,gamma=0.99,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=128,128relu/64relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-44.40741344670516,-130.78290652044595,71
-426.2940313364956,-131.6909736946838,113
-268.2610337418646,-121.32120613180297,144
-134.22423081651937,-102.45260111305547,84
-173.54888722595481,-95.09828985562937,92
-190.54912350196622,-73.96477393841423,99
-34.90747265619754,-56.30633571962794,198
-121.80040638699163,-41.851045246583055,96
-140.53141710970988,-37.7715230710153,55
-285.39714484382023,-29.422660231915142,79
-100.84264593255587,-27.78547146062819,393
106.32963371086954,-21.71076471222352,414
-52.86776988062172,-21.9435087520475,328
-79.01469591836731,-18.609949216173476,261
-99.95340573734278,-10.49058445357154,202
-163.39866854836933,-9.97602394105412,166
-86.83857486644852,-6.719337189738492,143
57.98696515608803,-5.093528564885037,221
38.353551117206564,-1.8884498596065549,162
-90.12088051875189,2.3985349286155553,175
121.8464493681946,4.484709508209163,190
-275.7493429276186,6.908834813437903,154
-194.60065425159874,7.2840929121566,148
-201.83865626879788,11.216185769535638,118
-216.05874238002824,13.236463938709774,177
-177.22897229296052,18.261775162380967,177
-47.54070664623423,21.229864255393554,101
-147.58301573217227,22.23814005412551,231
-162.69311025547583,24.55890541626546,179
9.569796685418027,24.309338497339894,176
-32.74934755187083,25.32436188060155,180
-225.2413190102579,28.294685572511206,134
-309.20193417617384,33.73485357725826,171
-286.53080230593116,32.67282058388809,155
-314.9676916585261,36.64589756741063,124
-54.76215637069514,33.199711900458084,155
-172.4551355080291,32.2313153207316,102
-252.67181921108016,30.037035503375268,119
-307.7745540198133,28.74365084379157,145
-226.8004047161741,29.759076051221122,134
-100.7203906421077,34.26860281465782,97
-325.7855780175063,35.68556891447193,129
-66.20226893482,37.017376951384776,97
-187.26076323995278,39.962367664070385,114
-175.87368189776203,39.4845411289432,129
-76.64455831807075,45.81863702997559,85
-183.59266644065116,48.27246049529206,75
-75.18798724343893,53.338409292487725,143
-159.18534986869096,59.70581478278496,100
-195.22729435766144,62.39825640338131,69
-238.66902410804892,63.92191296995903,122
-273.70125398386716,64.85215140692362,97
-374.71466708307764,67.60056512860879,131
-412.3276303626966,70.04970562709312,113
-217.2405224157682,72.1569224002604,102
-286.3244667693533,73.55315326545619,206
-152.07825650015292,74.74622796284604,110
-69.55161511485426,75.78988235812074,148
-99.89167495310316,76.68209097934498,101
-89.4178301535626,76.66237144278435,124
-200.16351943383694,76.16058479375641,166
-81.67120778785797,77.62188040420773,122
-300.9765481203587,77.20144200130659,80
-333.34702417197286,76.85382774549493,86
-49.389853076349254,77.12395137871881,129
-132.04106876331397,78.5707636613053,80
-365.9303524295024,78.51276174113353,176
-22.60607184430313,79.33010398417095,168
-140.11295689808964,79.63474049213747,92
-260.6754268446614,80.66217683033895,164
-198.2931191440054,81.37354218971072,243
-241.26956296029527,82.70504845841695,112
-199.0876343186097,83.23252015391658,199
-169.73516018593128,85.233591951462,96
-143.14786956014981,87.8654925964264,191
-245.65601168849577,88.6481860798006,286
-203.34557524548146,94.05561812917117,301
-41.4231041909577,101.52833872714511,371
-4.807412550519999,101.87308299368661,349
-184.30398366050053,108.98181803023841,381
-173.8027251243836,119.06112782907842,256
-12.089133749568365,129.84625960867854,385
248.87767952987593,139.1521731032013,349
-113.13164211306041,152.36947666897544,453
-157.9049997707815,162.38903559371659,250
-77.58726728086862,167.1206652392197,498
21.592527482734383,154.53763434737672,175
-85.43739561870952,151.07636666393503,438
-21.037243065732838,163.13569495238346,202
-54.9732988481851,171.9844167150758,488
-46.22433317246805,178.69213786255594,465
-189.52774221116044,182.11162846712458,79
-1.1511090601508618,190.2356754709375,419
-183.67645491781735,192.6020842295892,208
-143.22391133835765,193.25426784035898,331
-123.87173472347234,195.95176426427665,165
-107.59591995844909,218.7411569706554,172
-117.40303887854677,230.48841423265597,110
-155.53828714028674,230.5617556245262,233
52.65968579465745,230.00593275844406,463
38.31812908688288,224.48372423495374,161
9.964748320581041,219.04896202408653,162
17.572490956661774,200.2446551387103,114
1.2425875608959605,190.08280012704745,162
-33.616495167446494,180.38107566611336,146
-16.76139941088226,160.22892872816325,134
-11.942408074521385,138.59513367961915,185
-136.79521138424656,123.57781408834042,283
-86.93497372305472,104.61226622618564,83
-45.27366311265006,89.46967806036447,452
-150.03855900362163,491
-47.81368773546612,397
-71.53149581226917,499
-141.63585459992754,478
-34.41004986989532,376
-59.34349290654665,436
-0.6994905059461063,388
-61.23003071916952,259
-8.771146499266548,341
-128.12354179855024,311
-7.6144183950411755,358
22.613331270942556,243
-3.095477553158541,232
-44.4407327728244,424
-7.290350574069009,427
-25.985206188923726,346
8.635370167241122,200
-9.52420684988256,207
-68.11486040492098,361
-4.444723230865746,244
-123.25334227673437,448
21.92395491585397,315
-39.0024824560429,214
8.205344023635094,358
-20.3323896043212,269
-55.554425385994286,184
-24.798797209167507,230
-18.198548454790096,331
-64.54213565583431,257
-48.085647542213174,313
-55.909535284930506,310
18.79028263930678,192
-63.53756526018442,366
-470.01781381177614,308
-41.496204686431625,306
-10.811171031052828,359
-119.97984789894343,488
-10.841849160557057,210
-40.46584239089764,210
-32.215535549010234,396
-39.67386606850858,383
-24.286555829468107,280
12.421646505738,284
-9.353028136992268,374
-0.15061519214754293,250
-56.14197778957029,212
25.715305048912196,311
32.19305381273306,239
-45.97241448377917,387
27.845499781405834,375
-62.83626343979067,251
-12.841234383502954,402
0.30674714942057424,312
-1.429323414642012,218
8.215236843681812,302
-15.84880315199517,274
-15.306160513725064,367
-57.448930470236746,389
-48.19684571184581,261
8.876169982877999,408
12.602936178349704,346
32.85241417538453,402
-42.65073850171553,412
-40.407618375672826,440
-33.95620017944034,339
-45.04908548582927,489
-49.69541670222998,467
4.9981749951594185,380
14.562231969792048,123
7.987771159522537,343
-34.18191925543416,406
-16.03823360176688,241
-11.091050531814915,394
-17.295539820916957,410
49.22612377004806,262
