Episodes = 1131,alpha=0.0001,gamma=0.9,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-272.8144346062812,-89.73772253623963,126
-96.1020197540618,-83.28088505922013,101
-29.905511852341263,-80.81250553191423,83
-347.2717930928635,-80.25886953302353,230
-563.1375960941973,-69.92758208488287,139
-504.3629675209106,-46.27138595292925,106
-334.22598865912323,-40.32820384561521,163
-357.77988111947025,-39.20783306404516,128
-543.5843913875319,-38.65784886465322,90
-213.09359970101906,-38.07941752129019,102
-429.49322154063947,-36.13465900623825,91
-210.2518515700821,-37.13667956402591,300
-15.364732661527238,-35.708266366852335,269
-54.566694744827075,-35.40216642223447,274
-56.65372958388843,-35.58971112371954,237
-16.996590172159046,-37.7361324713067,294
-16.498881135130958,-37.95377973457574,214
-67.35262132940969,-40.12182455035519,196
-36.182532556085185,-40.81250606170937,218
-68.54436219296274,-41.46679810042747,456
9.115329715877253,-43.82696526805212,261
-42.48528712054089,-45.31065786876639,253
31.33027681467022,-45.7916202157257,394
-436.5205244258497,-48.19401970240427,330
-36.57337622499861,-49.33713064588266,263
-46.10847829895299,-48.68430046982125,296
-137.42079864439387,-53.41196385312075,227
-48.235873920763886,-51.80199600535511,172
-53.07782236126228,-51.998818536932966,158
-56.39338221248674,-51.04481451708014,222
-21.91192971918689,-51.37257660022143,243
-30.97376696086724,-52.82625980087356,259
-41.599796351927694,-52.43220089487078,210
-51.87483236149647,-49.69326847944099,279
-62.28958902715223,-42.447359992848135,311
-52.651937499859244,-41.07373885982852,295
-61.723522341782356,-35.594216544344484,306
-101.6959553341981,-36.1928156438531,401
-62.767353304682345,-36.495199300993804,433
-46.71879955912389,-36.19345415422691,379
-41.70854189948638,-32.08226530968614,498
-138.55283370222355,-26.889469288200985,202
-34.06872083646967,-21.332749695419146,84
-42.751518846798895,-18.96084723653356,96
-87.61013683831973,-22.459436254165826,447
-180.2455182501293,-29.548855160793,491
-95.52398796784132,-29.212353563133423,429
-225.74202273547115,-29.77149447245008,301
-210.94321775768,-29.499370918609888,181
-240.0824384862409,-36.03486667818255,80
-208.20136242159884,-40.27292786615222,180
-139.9882134122169,-42.0525363403391,193
-447.0178643405466,-43.891008969877795,196
-102.04043310148978,-53.836462810684864,410
-461.1600702390411,-56.28861795828284,217
-545.6044305526998,-56.74687765254166,441
-482.13401029011493,-60.625395597544376,170
-31.914877663831604,-60.71961091001768,272
-253.46047748586497,-61.46226708943628,238
-40.221585947159255,-69.29347346623142,172
-153.6376251801184,-70.62200778442404,331
-241.45839265587279,-74.05918364603558,255
-200.40494301604218,-74.35940400609826,166
-15.148952842271296,-69.82247052870581,179
-69.55876144034924,-68.11982824385173,342
-18.865353722961952,-65.91901000235126,250
51.217765915070174,-62.280026937742896,241
-166.0412355831729,-61.99127420059367,272
-56.8283840628605,-67.32443788131775,101
-41.498365123468126,-56.46241350647375,497
-102.27255260913816,-55.913463973765076,102
27.670201167427756,-54.00512192189588,327
146.0311266478605,-52.29643931435933,139
117.08142052014983,-50.99156899950332,366
-44.39987701808905,-48.666164430921015,171
-42.73410884087696,-47.14594615316575,57
-374.6517439571151,-45.07030686246003,196
-31.358108639141502,-46.592068189344225,196
-49.06661410330196,-41.45141287729598,142
-42.77918237228101,-40.61366720864202,143
-24.525805216586093,-33.21526759546202,56
-70.70922330286167,-33.20547964136391,173
61.61935196939664,-33.080065552952135,263
-38.18048487567391,-33.00671002339652,301
-9.343977623315125,-38.81403032339242,245
-13.687055685229213,-36.68186937731297,195
-33.655089655042744,-38.17285335298495,160
-48.002935228998886,-38.353777067373855,424
-63.14837291999147,-38.7096014847267,186
-58.61016937340264,-40.42146664012768,308
-41.05563077605358,-41.969700107746704,237
-2.9902567160883824,-38.46563481207878,381
5.275886934538439,-37.24640765010973,240
-51.34580380432744,-36.78459681452598,193
-29.010275456857148,-31.280257367299818,247
-51.972515293313734,-33.06022993247874,209
-35.53729742089951,-29.748523992762976,145
-164.68038187384957,-28.42906227913768,156
32.9728787940044,-31.99929761199814,284
-31.284546232220123,-34.294930912378916,165
-0.4819631099170656,-37.10138686670329,212
-27.365922215541836,-40.93398969862417,215
-302.025646739232,-43.70291098227386,381
-49.498543802908806,342
-57.56344815199662,239
-75.17681831810224,224
-68.71540752825018,321
-32.713497714684515,150
-18.70417365366035,243
-7.538817617941651,393
-25.957724697486555,477
-46.29343048857454,173
-15.94992610382056,60
-47.02793240179579,214
-47.561825154944216,117
59.061176097549435,55
-17.127219734816407,163
-36.33435760778806,274
-52.883117467188455,461
-56.718438646522515,120
-65.38639827686444,159
-55.55497681837693,191
-63.816779144121476,185
-60.01827658545599,441
-54.84749397412366,147
-40.75378397322998,143
-53.05529288751617,155
-78.53327762915765,140
-26.187548658017626,167
-57.69955324127843,185
-79.06500103683473,148
-59.513882209541336,159
-42.322935223761185,103
-17.68320492601294,198
-24.19161091159477,190
-159.5014154526387,147
-3.9616908021315718,92
-39.528085957423734,63
-14.70238133505517,231
-36.997106285024756,127
-80.44156946802266,153
-24.579603528063686,235
-33.6763675193332,490
-19.628245667598375,237
-64.2432040496286,127
9.178519895291382,180
-36.332874248209336,214
-27.119288263784235,250
-12.306343073364085,164
-47.83836739397045,193
-7.554418657933984,412
-32.54657014137732,333
-23.742735071689726,190
-28.59938061830419,188
-31.880053649849778,211
-3.9588225519330704,135
-47.56850781409823,392
-44.29872215257663,250
-15.022511523729163,175
-62.320099904934175,212
-56.186308830707446,135
-10.85775645709337,490
-6.842085279347387,194
-74.49417471410263,426
2.2866270969735547,182
-48.411347773653766,140
-32.17540271708133,168
-48.45481445660054,195
-17.86054992091001,195
-46.11668622029574,218
-34.979846538528165,210
-30.064740919170347,228
-40.190776863502286,198
-37.81245804283253,165
-29.27284122119421,196
-16.958555070127577,271
-16.779669970996693,193
-54.63745495867257,229
21.112982380325768,193
-24.808596798247308,160
-55.03024958308435,184
-48.31815372699803,124
-40.665003622535146,173
-46.42785614725072,215
-42.95836339110635,301
21.243862268848304,118
-30.369191710587856,414
-21.401442172951764,210
-30.14068633511305,261
-25.586960056987238,249
21.378452922170954,187
-37.1395510826911,199
-18.204207705138373,238
-35.747962038605195,266
-17.452946423795783,153
-51.352376702209256,193
-35.79944323548051,135
-36.628191547722885,223
-30.859011585134873,300
-41.33767589846332,140
-7.263441289523072,280
-24.3102571144147,186
-37.078298602187324,224
-103.76624439642958,265
-35.56648833208082,172
-48.14492201794638,186
-37.79088002420829,213
-59.266056064249916,494
-35.97365028846046,209
-31.722893870874824,235
-31.68869663619107,214
-20.166566492992718,164
-67.83857342176775,157
-39.531805488340495,322
-16.5961217315293,140
-24.864334296439246,142
-23.988188584196514,242
-44.70307200617472,242
4.287660381966644,155
-161.11232817479186,332
7.518477830113345,238
-54.97044477153017,349
-36.99976257960029,400
-52.39976533142101,303
-103.21090962732448,286
8.177588255252246,165
-111.2930897840404,251
-0.7396422850235871,456
-17.122968122998127,354
-30.886405650503896,248
-13.566661573595564,196
-36.071208104550344,330
-31.58317508299129,202
-29.561280933052792,325
-94.54896998973709,214
-8.021754674135876,395
-118.0518545175862,335
-28.087087029365684
-34.77577293430762
-39.014633542722066
-27.14158286978348
-19.883412768677186
-22.481521500406785
-125.38216824308338
-40.03044155864286
-26.153559356241097
-32.794387717220104
-8.46552181902345
-16.577397178796218
-5.412074542344592
-58.56132878075497
-65.94255680302876
-121.30560696836913
-91.98280741279262
-29.186692796013983
14.759564010383912
-54.72572206279639
-36.10383419058172
10.237423652144075
-104.81208649762797
-33.071637776460165
